,Broadcast_Year,Broadcast_Quarter,Market,Universe
0,2019,1,Atlantic,2359000
1,2019,1,Central,2482000
2,2019,1,Ontario,14059000
3,2019,1,Quebec,8328000
4,2019,1,West,9149000
5,2019,2,Atlantic,2359000
6,2019,2,Central,2482000
7,2019,2,Ontario,14059000
8,2019,2,Quebec,8328000
9,2019,2,West,9149000
10,2019,3,Atlantic,2359000
11,2019,3,Central,2482000
12,2019,3,Ontario,14059000
13,2019,3,Quebec,8328000
14,2019,3,West,9149000
15,2019,4,Atlantic,2359000
16,2019,4,Central,2482000
17,2019,4,Ontario,14059000
18,2019,4,Quebec,8328000
19,2019,4,West,9149000
20,2020,1,Atlantic,2372000
21,2020,1,Central,2540000
22,2020,1,Ontario,14282000
23,2020,1,Quebec,8400000
24,2020,1,West,9230000
25,2020,2,Atlantic,2372000
26,2020,2,Central,2540000
27,2020,2,Ontario,14282000
28,2020,2,Quebec,8400000
29,2020,2,West,9230000
30,2020,3,Atlantic,2372000
31,2020,3,Central,2540000
32,2020,3,Ontario,14282000
33,2020,3,Quebec,8400000
34,2020,3,West,9230000
35,2020,4,Atlantic,2372000
36,2020,4,Central,2540000
37,2020,4,Ontario,14282000
38,2020,4,Quebec,8400000
39,2020,4,West,9230000
40,2021,1,Atlantic,2400000
41,2021,1,Central,2558000
42,2021,1,Ontario,14509000
43,2021,1,Quebec,8414000
44,2021,1,West,9528000
45,2021,2,Atlantic,2400000
46,2021,2,Central,2558000
47,2021,2,Ontario,14509000
48,2021,2,Quebec,8414000
49,2021,2,West,9528000
50,2021,3,Atlantic,2400000
51,2021,3,Central,2558000
52,2021,3,Ontario,14509000
53,2021,3,Quebec,8414000
54,2021,3,West,9528000
55,2021,4,Atlantic,2400000
56,2021,4,Central,2558000
57,2021,4,Ontario,14509000
58,2021,4,Quebec,8414000
59,2021,4,West,9528000
60,2022,1,Atlantic,2393000
61,2022,1,Central,2526000
62,2022,1,Ontario,14612000
63,2022,1,Quebec,8424000
64,2022,1,West,9509000
65,2022,2,Atlantic,2393000
66,2022,2,Central,2526000
67,2022,2,Ontario,14612000
68,2022,2,Quebec,8424000
69,2022,2,West,9509000
70,2022,3,Atlantic,2393000
71,2022,3,Central,2526000
72,2022,3,Ontario,14612000
73,2022,3,Quebec,8424000
74,2022,3,West,9509000
75,2022,4,Atlantic,2393000
76,2022,4,Central,2526000
77,2022,4,Ontario,14612000
78,2022,4,Quebec,8424000
79,2022,4,West,9509000
80,2023,1,Atlantic,2427000
81,2023,1,Central,2582000
82,2023,1,Ontario,14848000
83,2023,1,Quebec,8529000
84,2023,1,West,9645000
85,2023,2,Atlantic,2427000
86,2023,2,Central,2582000
87,2023,2,Ontario,14848000
88,2023,2,Quebec,8529000
89,2023,2,West,9645000
90,2023,3,Atlantic,2427000
91,2023,3,Central,2582000
92,2023,3,Ontario,14848000
93,2023,3,Quebec,8529000
94,2023,3,West,9645000
95,2023,4,Atlantic,2427000
96,2023,4,Central,2582000
97,2023,4,Ontario,14848000
98,2023,4,Quebec,8529000
99,2023,4,West,9645000
100,2024,1,Atlantic,2469000
101,2024,1,Central,2604000
102,2024,1,Ontario,15151000
103,2024,1,Quebec,8661000
104,2024,1,West,9835000
105,2024,2,Atlantic,2469000
106,2024,2,Central,2604000
107,2024,2,Ontario,15151000
108,2024,2,Quebec,8661000
109,2024,2,West,9835000
110,2024,3,Atlantic,2469000
111,2024,3,Central,2604000
112,2024,3,Ontario,15151000
113,2024,3,Quebec,8661000
114,2024,3,West,9835000
115,2024,4,Atlantic,2469000
116,2024,4,Central,2604000
117,2024,4,Ontario,15151000
118,2024,4,Quebec,8661000
119,2024,4,West,9835000
120,2025,1,Atlantic,2585000
121,2025,1,Central,2644000
122,2025,1,Ontario,15752000
123,2025,1,Quebec,8770000
124,2025,1,West,10316000
125,2025,2,Atlantic,2585000
126,2025,2,Central,2644000
127,2025,2,Ontario,15752000
128,2025,2,Quebec,8770000
129,2025,2,West,10316000
130,2025,3,Atlantic,2585000
131,2025,3,Central,2644000
132,2025,3,Ontario,15752000
133,2025,3,Quebec,8770000
134,2025,3,West,10316000
